Complexity;Time in ms;Count
2243;1.151;2
2249;1.126;2
2255;1.142;2
2261;1.179;2
2267;1.165;2
2273;1.151;2
2279;1.308;2
2285;1.166;2
2291;1.22;2
2297;1.224;2
2303;1.168;2
2309;1.171;2
2315;1.227;2
2321;1.237;2
2327;1.223;2
2333;1.183;2
2339;1.184;2
2345;1.206;2
2351;1.233;2
2357;1.345;2
2363;1.295;2
2369;1.197;2
2375;1.269;2
2381;1.203;2
2387;1.296;2
2393;1.213;2
2399;1.221;2
2405;1.24;2
2411;1.253;2
2417;1.244;2
2423;1.234;2
2429;1.246;2
2435;1.398;2
2441;1.27;2
2447;1.252;2
2453;1.254;2
2459;1.324;2
2465;1.251;2
2471;1.246;2
2477;1.255;2
2483;1.313;2
2489;1.256;2
2495;1.262;2
2501;1.303;2
2507;1.404;2
2513;1.319;2
2519;1.33;2
2525;1.287;2
2531;1.317;2
2537;1.289;2
2543;1.294;2
2549;1.337;2
2555;1.304;2
2561;1.296;2
2567;1.327;2
2573;1.318;2
2579;1.473;2
2585;1.402;2
2591;4.587;2
2597;1.316;2
2603;1.329;2
2609;1.336;2
2615;1.341;2
2621;1.335;2
2627;1.375;2
2633;1.347;2
2639;1.447;2
2645;1.347;2
2651;1.406;2
2657;1.365;2
2663;1.385;2
2669;1.371;2
2675;1.369;2
2681;1.377;2
2687;1.391;2
2693;1.398;2
2699;1.382;2
2705;1.596;2
2711;1.442;2
2717;1.505;2
2723;1.387;2
2729;1.401;2
2735;1.398;2
2741;1.405;2
2747;1.403;2
2753;1.491;2
2759;1.417;2
2765;1.414;2
2771;1.554;2
2777;1.499;2
2783;1.456;2
2789;1.499;2
2795;1.552;2
2801;1.464;2
2807;1.468;2
2813;1.501;2
2819;1.473;2
2825;1.516;2
2831;1.646;2
2837;1.55;2
2843;1.495;2
2849;1.496;2
2855;1.537;2
2861;1.578;2
2867;1.535;2
2873;1.588;2
2879;1.51;2
2885;1.523;2
2891;1.635;2
2897;1.517;2
2903;1.532;2
2909;1.657;2
2915;1.536;2
2921;5.143;2
2927;2.142;2
2933;2.272;2
2939;2.158;2
2945;2.219;2
2951;2.34;2
2957;2.16;2
2963;2.123;2
2969;2.187;2
2975;2.287;2
2981;2.225;2
2987;2.243;2
2993;2.156;2
2999;0.712;2
