Complexity;Time in ms;Count
2243;0.066;2
2249;0.066;2
2255;0.072;2
2261;0.074;2
2267;0.069;2
2273;0.069;2
2279;0.076;2
2285;0.067;2
2291;0.078;2
2297;0.071;2
2303;0.072;2
2309;0.092;2
2315;0.067;2
2321;0.076;2
2327;0.108;2
2333;0.076;2
2339;0.076;2
2345;0.075;2
2351;0.077;2
2357;0.086;2
2363;0.064;2
2369;0.085;2
2375;0.077;2
2381;0.088;2
2387;0.076;2
2393;0.08;2
2399;0.077;2
2405;0.081;2
2411;0.074;2
2417;0.075;2
2423;0.077;2
2429;0.08;2
2435;0.075;2
2441;0.073;2
2447;0.074;2
2453;0.078;2
2459;0.077;2
2465;0.072;2
2471;0.079;2
2477;0.079;2
2483;0.081;2
2489;0.08;2
2495;0.083;2
2501;0.077;2
2507;0.09;2
2513;0.08;2
2519;0.068;2
2525;0.077;2
2531;0.077;2
2537;0.081;2
2543;0.073;2
2549;0.076;2
2555;0.084;2
2561;0.08;2
2567;0.074;2
2573;0.092;2
2579;0.084;2
2585;0.081;2
2591;0.084;2
2597;0.078;2
2603;0.072;2
2609;0.082;2
2615;0.087;2
2621;0.084;2
2627;0.079;2
2633;0.087;2
2639;0.068;2
2645;0.086;2
2651;0.087;2
2657;0.087;2
2663;0.074;2
2669;0.083;2
2675;0.082;2
2681;0.088;2
2687;0.089;2
2693;0.092;2
2699;0.087;2
2705;0.086;2
2711;0.109;2
2717;0.091;2
2723;0.092;2
2729;0.101;2
2735;0.09;2
2741;0.089;2
2747;0.088;2
2753;0.079;2
2759;0.089;2
2765;0.086;2
2771;0.087;2
2777;0.09;2
2783;0.093;2
2789;0.093;2
2795;0.09;2
2801;0.088;2
2807;0.088;2
2813;0.084;2
2819;0.1;2
2825;0.09;2
2831;0.083;2
2837;0.096;2
2843;0.093;2
2849;0.093;2
2855;0.095;2
2861;0.095;2
2867;0.083;2
2873;0.095;2
2879;0.076;2
2885;0.09;2
2891;0.095;2
2897;0.086;2
2903;0.094;2
2909;0.094;2
2915;0.09;2
2921;0.093;2
2927;0.108;2
2933;0.088;2
2939;0.09;2
2945;0.092;2
2951;0.093;2
2957;0.078;2
2963;0.102;2
2969;0.134;2
2975;0.086;2
2981;0.09;2
2987;0.099;2
2993;0.097;2
2999;0.033;2
