Complexity;Time in ms;Count
2243;18.708;2
2249;14.244;2
2255;17.002;2
2261;16.143;2
2267;21.782;2
2273;19.09;2
2279;13.345;2
2285;18.733;2
2291;19.961;2
2297;26.268;2
2303;15.224;2
2309;19.48;2
2315;24.157;2
2321;14.502;2
2327;17.987;2
2333;30.56;2
2339;20.455;2
2345;29.056;2
2351;23.268;2
2357;22.505;2
2363;32.799;2
2369;25.69;2
2375;23.129;2
2381;32.893;2
2387;20.269;2
2393;18.528;2
2399;29.387;2
2405;16.334;2
2411;19.13;2
2417;23.237;2
2423;25.906;2
2429;28.94;2
2435;11.165;2
2441;23.085;2
2447;11.214;2
2453;6.331;2
2459;19.232;2
2465;25.486;2
2471;30.828;2
2477;21.047;2
2483;12.832;2
2489;32.838;2
2495;21.757;2
2501;9.638;2
2507;28.275;2
2513;24.808;2
2519;33.327;2
2525;32.917;2
2531;9.234;2
2537;18.237;2
2543;26.425;2
2549;9.038;2
2555;25.526;2
2561;16.963;2
2567;17.857;2
2573;30.661;2
2579;38.766;2
2585;12.481;2
2591;26.936;2
2597;26.725;2
2603;30.033;2
2609;18.989;2
2615;27.287;2
2621;13.236;2
2627;17.447;2
2633;11.184;2
2639;33.309;2
2645;36.111;2
2651;21.058;2
2657;23.622;2
2663;26.375;2
2669;15.155;2
2675;42.735;2
2681;18.28;2
2687;25.648;2
2693;29.35;2
2699;21.538;2
2705;31.905;2
2711;36.79;2
2717;21.734;2
2723;32.857;2
2729;11.523;2
2735;24.343;2
2741;10.748;2
2747;29.249;2
2753;38.716;2
2759;31.479;2
2765;29.586;2
2771;16.2;2
2777;20.981;2
2783;17.779;2
2789;15.598;2
2795;24.716;2
2801;19.323;2
2807;29.094;2
2813;37.496;2
2819;37.719;2
2825;9.388;2
2831;20.645;2
2837;31.67;2
2843;29.629;2
2849;16.724;2
2855;22.055;2
2861;19.068;2
2867;18.609;2
2873;22.502;2
2879;20.385;2
2885;36.677;2
2891;20.057;2
2897;12.55;2
2903;25.62;2
2909;33.225;2
2915;34.223;2
2921;13.8;2
2927;15.032;2
2933;38.721;2
2939;30.967;2
2945;6.73;2
2951;31.945;2
2957;23.327;2
2963;26.013;2
2969;19.224;2
2975;33.528;2
2981;15.23;2
2987;14.764;2
2993;22.934;2
2999;3.833;2
