Complexity;Time in ms;Count
2243;0.047;2
2249;0.04;2
2255;0.048;2
2261;0.055;2
2267;0.045;2
2273;0.052;2
2279;0.045;2
2285;0.053;2
2291;0.05;2
2297;0.062;2
2303;0.057;2
2309;0.044;2
2315;0.042;2
2321;0.045;2
2327;0.046;2
2333;0.052;2
2339;0.048;2
2345;0.04;2
2351;0.036;2
2357;0.04;2
2363;0.057;2
2369;0.043;2
2375;0.049;2
2381;0.032;2
2387;0.025;2
2393;0.047;2
2399;0.052;2
2405;0.057;2
2411;0.05;2
2417;0.047;2
2423;0.038;2
2429;0.048;2
2435;0.037;2
2441;0.041;2
2447;0.059;2
2453;0.034;2
2459;0.052;2
2465;0.05;2
2471;0.045;2
2477;0.051;2
2483;0.07;2
2489;0.058;2
2495;0.05;2
2501;0.043;2
2507;0.062;2
2513;0.04;2
2519;0.046;2
2525;0.052;2
2531;0.067;2
2537;0.042;2
2543;0.041;2
2549;0.051;2
2555;0.052;2
2561;0.059;2
2567;0.061;2
2573;0.047;2
2579;0.051;2
2585;0.058;2
2591;0.058;2
2597;0.047;2
2603;0.05;2
2609;0.061;2
2615;0.057;2
2621;0.042;2
2627;0.051;2
2633;0.049;2
2639;0.048;2
2645;0.048;2
2651;0.052;2
2657;0.047;2
2663;0.046;2
2669;0.076;2
2675;0.047;2
2681;0.046;2
2687;0.047;2
2693;0.049;2
2699;0.04;2
2705;0.06;2
2711;0.057;2
2717;0.054;2
2723;0.049;2
2729;0.052;2
2735;0.053;2
2741;0.054;2
2747;0.066;2
2753;0.042;2
2759;0.059;2
2765;0.05;2
2771;0.057;2
2777;0.05;2
2783;0.047;2
2789;0.051;2
2795;0.042;2
2801;0.056;2
2807;0.052;2
2813;0.066;2
2819;0.069;2
2825;0.063;2
2831;0.073;2
2837;0.045;2
2843;0.055;2
2849;0.056;2
2855;0.055;2
2861;0.044;2
2867;0.046;2
2873;0.057;2
2879;0.054;2
2885;0.055;2
2891;0.057;2
2897;0.042;2
2903;0.059;2
2909;0.07;2
2915;0.059;2
2921;0.059;2
2927;0.058;2
2933;0.06;2
2939;0.08;2
2945;0.06;2
2951;0.054;2
2957;0.059;2
2963;0.06;2
2969;0.056;2
2975;0.065;2
2981;0.06;2
2987;0.049;2
2993;0.054;2
2999;0.031;2
