Complexity;Time in ms;Count
2243;0.171;2
2249;0.155;2
2255;0.155;2
2261;0.153;2
2267;0.157;2
2273;0.155;2
2279;0.16;2
2285;0.177;2
2291;0.193;2
2297;0.185;2
2303;0.186;2
2309;0.162;2
2315;0.162;2
2321;0.158;2
2327;0.163;2
2333;0.167;2
2339;0.165;2
2345;0.162;2
2351;0.165;2
2357;0.18;2
2363;0.191;2
2369;0.187;2
2375;0.19;2
2381;0.176;2
2387;0.167;2
2393;0.176;2
2399;0.168;2
2405;0.172;2
2411;0.168;2
2417;0.172;2
2423;0.169;2
2429;0.176;2
2435;0.171;2
2441;0.176;2
2447;0.175;2
2453;0.177;2
2459;0.174;2
2465;0.177;2
2471;0.175;2
2477;0.189;2
2483;0.173;2
2489;0.195;2
2495;0.211;2
2501;0.184;2
2507;0.45;2
2513;0.187;2
2519;0.173;2
2525;0.181;2
2531;0.207;2
2537;0.19;2
2543;0.186;2
2549;0.189;2
2555;0.196;2
2561;0.18;2
2567;0.174;2
2573;0.188;2
2579;0.175;2
2585;0.177;2
2591;0.179;2
2597;0.177;2
2603;0.188;2
2609;0.178;2
2615;0.18;2
2621;0.179;2
2627;0.183;2
2633;0.182;2
2639;0.208;2
2645;0.184;2
2651;0.185;2
2657;0.188;2
2663;0.185;2
2669;0.188;2
2675;0.189;2
2681;0.186;2
2687;0.189;2
2693;0.189;2
2699;0.198;2
2705;0.195;2
2711;0.191;2
2717;0.192;2
2723;0.187;2
2729;0.19;2
2735;0.189;2
2741;0.187;2
2747;0.195;2
2753;0.193;2
2759;0.194;2
2765;0.194;2
2771;0.192;2
2777;0.196;2
2783;0.194;2
2789;0.195;2
2795;0.202;2
2801;0.197;2
2807;0.198;2
2813;0.194;2
2819;0.201;2
2825;0.198;2
2831;0.198;2
2837;0.201;2
2843;0.199;2
2849;0.2;2
2855;0.203;2
2861;0.205;2
2867;0.202;2
2873;0.215;2
2879;0.236;2
2885;0.237;2
2891;0.242;2
2897;0.238;2
2903;0.253;2
2909;0.231;2
2915;0.236;2
2921;0.237;2
2927;0.26;2
2933;0.641;2
2939;0.247;2
2945;0.241;2
2951;0.25;2
2957;0.24;2
2963;0.269;2
2969;0.255;2
2975;0.248;2
2981;0.245;2
2987;0.238;2
2993;0.246;2
2999;0.082;2
